"id","title","author","alt_titles"
"c001","The Hobbit","J.R.R. Tolkien",""
"c002","The Hobbit","J.R.R. Tolkien",""
"c003","The Fellowship of the Ring","Tolkien, J.R.R.","The Lord of the Rings: The Fellowship of the Ring"
"c004","The Two Towers","J. R. R. Tolkien","The Lord of the Rings: The Two Towers"
"c005","The Return of the King","JRR Tolkien","The Lord of the Rings: The Return of the King"
"c006","The Lord of the Rings","J.R.R. Tolkien","The Lord of the Rings Trilogy;LOTR"
"c007","Harry Potter and the Philosopher's Stone","J.K. Rowling","Harry Potter and the Sorcerer's Stone"
"c008","Harry Potter and the Chamber of Secrets","Rowling, J.K.",""
"c009","Harry Potter and the Prisoner of Azkaban","J. K. Rowling",""
"c010","Harry Potter and the Goblet of Fire","JK Rowling",""
"c011","Harry Potter and the Order of the Phoenix","J.K. Rowling",""
"c012","Harry Potter and the Half-Blood Prince","J.K. Rowling",""
"c013","Harry Potter and the Deathly Hallows","J.K. Rowling",""
"c014","The Golden Compass","Philip Pullman","Northern Lights"
"c015","The Subtle Knife","Philip Pullman",""
"c016","The Amber Spyglass","Philip Pullman",""
"c017","His Dark Materials","Philip Pullman","His Dark Materials Trilogy"
"c018","Dune","Frank Herbert",""
"c019","Dune Messiah","Frank Herbert",""
"c020","Children of Dune","Frank Herbert",""
"c021","The Alchemist","Paulo Coelho",""
"c022","The Alchemist","Michael Scott","The Alchemist: The Secrets of the Immortal Nicholas Flamel"
"c023","One Hundred Years of Solitude","Gabriel García Márquez",""
"c024","Love in the Time of Cholera","Gabriel Garcia Marquez",""
"c025","Crime and Punishment","Fyodor Dostoevsky",""
"c026","The Brothers Karamazov","Dostoyevsky, Fyodor",""
"c027","1984","George Orwell","Nineteen Eighty-Four"
"c028","Animal Farm","Orwell, George",""
"c029","To Kill a Mockingbird","Harper Lee",""
"c030","Pride and Prejudice","Jane Austen",""
"c031","Jane Eyre","Charlotte Brontë",""
"c032","Wuthering Heights","Emily Brontë",""
"c033","Great Expectations","Charles Dickens",""
"c034","A Tale of Two Cities","Charles Dickens",""
"c035","Moby-Dick","Herman Melville",""
"c036","The Great Gatsby","F. Scott Fitzgerald",""
"c037","Of Mice and Men","John Steinbeck",""
"c038","The Catcher in the Rye","J.D. Salinger",""
"c039","Lord of the Flies","William Golding",""
"c040","Anna Karenina","Leo Tolstoy",""
"c041","War and Peace","Leo Tolstoy",""
"c042","Don Quixote","Miguel de Cervantes",""
"c043","The Odyssey","Homer",""
"c044","Beloved","Toni Morrison",""
"c045","Invisible Man","Ralph Ellison",""
"c046","The Color Purple","Alice Walker",""
"c047","Slaughterhouse-Five","Kurt Vonnegut",""
"c048","Frankenstein","Mary Shelley",""
"c049","Dracula","Bram Stoker",""
"c050","The Picture of Dorian Gray","Oscar Wilde",""
"c051","The Old Man and the Sea","Ernest Hemingway",""
"c052","East of Eden","John Steinbeck",""
"c053","The Grapes of Wrath","John Steinbeck",""
"c054","Little Women","Louisa May Alcott",""
"c055","Emma","Jane Austen",""
"c056","Sense and Sensibility","Jane Austen",""
"c057","Brave New World","Aldous Huxley",""
"c058","Fahrenheit 451","Ray Bradbury",""
"c059","Do Androids Dream of Electric Sheep?","Philip K. Dick",""
"c060","The Handmaid's Tale","Margaret Atwood",""
"c061","Neuromancer","William Gibson",""
"c062","Ready Player One","Ernest Cline",""
"c063","The Left Hand of Darkness","Ursula K. Le Guin",""
"c064","Ender's Game","Orson Scott Card",""
"c065","The Martian","Andy Weir",""
"c066","Foundation","Isaac Asimov",""
"c067","American Gods","Neil Gaiman",""
"c068","Good Omens","Neil Gaiman and Terry Pratchett",""
"c069","The Name of the Wind","Patrick Rothfuss",""
"c070","Mistborn: The Final Empire","Brandon Sanderson",""
"c071","Six of Crows","Leigh Bardugo",""
"c072","The Hunger Games","Suzanne Collins",""
"c073","Catching Fire","Suzanne Collins",""
"c074","Mockingjay","Suzanne Collins",""
"c075","Twilight","Stephenie Meyer",""
"c076","New Moon","Stephenie Meyer",""
"c077","Percy Jackson and the Lightning Thief","Rick Riordan","Percy Jackson and the Olympians: The Lightning Thief"
"c078","The Sea of Monsters","Rick Riordan",""
"c079","And Then There Were None","Agatha Christie","Ten Little Indians"
"c080","Murder on the Orient Express","Agatha Christie",""
"c081","Gone Girl","Gillian Flynn",""
"c082","The Girl with the Dragon Tattoo","Stieg Larsson",""
"c083","The Da Vinci Code","Dan Brown",""
"c084","Angels & Demons","Dan Brown",""
"c085","Origin","Dan Brown",""
"c086","The Silent Patient","Alex Michaelides",""
"c087","Big Little Lies","Liane Moriarty",""
"c088","Sharp Objects","Gillian Flynn",""
"c089","In Cold Blood","Truman Capote",""
"c090","Sapiens: A Brief History of Humankind","Yuval Noah Harari",""
"c091","Educated","Tara Westover",""
"c092","Becoming","Michelle Obama",""
"c093","Atomic Habits","James Clear",""
"c094","Thinking, Fast and Slow","Daniel Kahneman",""
"c095","The Immortal Life of Henrietta Lacks","Rebecca Skloot",""
"c096","Into the Wild","Jon Krakauer",""
"c097","Into Thin Air","Jon Krakauer",""
"c098","A Brief History of Time","Stephen Hawking",""
"c099","Cosmos","Carl Sagan",""
